Run_ID,Dataset,Model,Accuracy,Kappa,F1_Score,AUC,RWA_Score,Total_Time_s,Avg_Update_Time_s,Memory_kB,min_estimators,max_estimators,period,alpha,beta,theta,enable_diversity,rwa_strength,use_lifetime_trend,warmup_windows
1,SEA_Imb9010,DDCW_rwa0.5_noDiv_trend_p600_b1.5_t0.02,0.9768,0.8804,0.9777,0.9986,0.9853,550.4823,0.0255,372.0362,5.0000,20.0000,600.0000,0.0020,1.5000,0.0200,False,0.5000,True,2.0000
1,SEA_Imb9010,KUE,0.9320,0.4657,0.9172,0.9324,0.4011,41.2634,0.0000,217.5039,,,,,,,,,,
1,Agrawal_Imb9010,DDCW_rwa0.5_noDiv_trend_p600_b1.5_t0.02,0.3531,0.0664,0.4217,0.8041,0.9057,1634.9079,0.0780,571.3702,5.0000,20.0000,600.0000,0.0020,1.5000,0.0200,False,0.5000,True,2.0000
1,Agrawal_Imb9010,KUE,0.9080,0.1438,0.8733,0.7942,0.1788,67.1472,0.0000,184.1704,,,,,,,,,,
1,hyperplane_gradual_imb9010,DDCW_rwa0.5_noDiv_trend_p600_b1.5_t0.02,0.7090,0.2725,0.7675,0.9130,0.9036,1845.9013,0.0881,683.3238,5.0000,20.0000,600.0000,0.0020,1.5000,0.0200,False,0.5000,True,2.0000
1,hyperplane_gradual_imb9010,KUE,0.9083,0.2052,0.8803,0.8804,0.2249,85.1913,0.0000,176.4245,,,,,,,,,,
1,rbf_drift_imb9010,DDCW_rwa0.5_noDiv_trend_p600_b1.5_t0.02,0.1825,0.0078,0.1810,0.5423,0.8536,1188.1947,0.0563,462.9004,5.0000,20.0000,600.0000,0.0020,1.5000,0.0200,False,0.5000,True,2.0000
1,rbf_drift_imb9010,KUE,0.9012,-0.0003,0.8544,0.5326,0.0987,65.2161,0.0000,213.1834,,,,,,,,,,
