Run_ID,Dataset,Model,Minority_Class,Minority_Precision,Minority_Recall,Minority_F1_Score
1,SEA_Imb9010,DDCW_rwa0.5_noDiv_trend_p600_b1.5_t0.02,1,0.8164,0.9863,0.8933
1,SEA_Imb9010,KUE,1,0.9312,0.3359,0.4937
1,Agrawal_Imb9010,DDCW_rwa0.5_noDiv_trend_p600_b1.5_t0.02,1,0.1298,0.9737,0.2291
1,Agrawal_Imb9010,KUE,1,0.8073,0.0892,0.1606
1,hyperplane_gradual_imb9010,DDCW_rwa0.5_noDiv_trend_p600_b1.5_t0.02,1,0.2439,0.9276,0.3862
1,hyperplane_gradual_imb9010,KUE,1,0.6667,0.1408,0.2325
1,rbf_drift_imb9010,DDCW_rwa0.5_noDiv_trend_p600_b1.5_t0.02,1,0.1023,0.9362,0.1844
1,rbf_drift_imb9010,KUE,1,0.0000,0.0000,0.0000
