Run_ID,Dataset,Model,Accuracy,Kappa,F1_Score,AUC,RWA_Score,Total_Time_s,Avg_Update_Time_s,Memory_kB,min_estimators,max_estimators,period,alpha,beta,theta,enable_diversity,rwa_strength,use_lifetime_trend,warmup_windows
1,SEA_Imb9010,DDCW_rwa0.5_noDiv_trend_p600_b1.5_t0.02,0.9754,0.8743,0.9765,0.9990,0.9887,282.4613,0.0131,357.1902,5.0000,20.0000,600.0000,0.0020,1.5000,0.0200,False,0.5000,True,2.0000
1,SEA_Imb9010,KUE,0.9342,0.4886,0.9204,0.9471,0.4194,19.5012,0.0000,235.8449,,,,,,,,,,
1,Agrawal_Imb9010,DDCW_rwa0.5_noDiv_trend_p600_b1.5_t0.02,0.3277,0.0548,0.3906,0.7532,0.8912,838.2541,0.0401,669.0217,5.0000,20.0000,600.0000,0.0020,1.5000,0.0200,False,0.5000,True,2.0000
1,Agrawal_Imb9010,KUE,0.9009,0.0039,0.8549,0.6722,0.1014,29.9853,0.0000,191.1980,,,,,,,,,,
1,hyperplane_gradual_imb9010,DDCW_rwa0.5_noDiv_trend_p600_b1.5_t0.02,0.7176,0.2798,0.7742,0.9088,0.8991,1039.8757,0.0498,939.0888,5.0000,20.0000,600.0000,0.0020,1.5000,0.0200,False,0.5000,True,2.0000
1,hyperplane_gradual_imb9010,KUE,0.9065,0.1490,0.8734,0.8708,0.1854,37.6847,0.0000,171.3427,,,,,,,,,,
1,rbf_drift_imb9010,DDCW_rwa0.5_noDiv_trend_p600_b1.5_t0.02,0.1885,0.0088,0.1911,0.5391,0.8520,612.0487,0.0291,557.1843,5.0000,20.0000,600.0000,0.0020,1.5000,0.0200,False,0.5000,True,2.0000
1,rbf_drift_imb9010,KUE,0.9013,0.0000,0.8545,0.5244,0.0987,27.2170,0.0000,211.9436,,,,,,,,,,
